invoice_id,branch,customer_type,gender,product_line,unit_price,quantity,tax,date,time,payment,cogs,gross_income,rating,total
232-16-2483,C,Member,Female,Sports and travel,68.12,1,3.406,2019-01-07,2022-09-22 12:28:00,Ewallet,68.12,3.406,6.8,71.526
129-29-8530,A,Member,Male,Sports and travel,62.62,5,15.655,2019-03-10,2022-09-22 19:15:00,Ewallet,313.1,15.655,7.0,328.755
272-65-1806,A,Normal,Female,Electronic accessories,60.88,9,27.396,2019-01-15,2022-09-22 17:17:00,Ewallet,547.92,27.396,4.7,575.316
333-73-7901,C,Normal,Female,Health and beauty,54.92,8,21.968,2019-03-23,2022-09-22 13:24:00,Ewallet,439.36,21.968,7.6,461.328
777-82-7220,B,Member,Male,Home and lifestyle,30.12,8,12.048,2019-03-03,2022-09-22 13:01:00,Cash,240.96,12.048,7.7,253.008
280-35-5823,B,Member,Female,Home and lifestyle,86.72,1,4.336,2019-01-17,2022-09-22 18:45:00,Ewallet,86.72,4.336,7.9,91.056
554-53-8700,C,Member,Male,Home and lifestyle,56.11,2,5.611,2019-02-02,2022-09-22 10:11:00,Cash,112.22,5.611,6.3,117.831
354-25-5821,B,Member,Female,Sports and travel,69.12,6,20.736,2019-02-08,2022-09-22 13:03:00,Cash,414.72,20.736,5.6,435.456
228-96-1411,C,Member,Female,Food and beverages,98.7,8,39.48,2019-03-04,2022-09-22 20:39:00,Cash,789.6,39.48,7.6,829.08
617-15-4209,C,Member,Male,Health and beauty,15.37,2,1.537,2019-03-16,2022-09-22 19:47:00,Cash,30.74,1.537,7.2,32.277
132-32-9879,B,Member,Female,Electronic accessories,93.96,4,18.792,2019-03-09,2022-09-22 18:00:00,Cash,375.84,18.792,9.5,394.632
370-41-7321,B,Member,Male,Health and beauty,56.69,9,25.5105,2019-02-27,2022-09-22 17:24:00,Credit card,510.21,25.5105,8.4,535.7205
727-46-3608,B,Member,Female,Food and beverages,20.01,9,9.0045,2019-02-06,2022-09-22 15:47:00,Ewallet,180.09,9.0045,4.1,189.0945
669-54-1719,B,Member,Male,Electronic accessories,18.93,6,5.679,2019-02-10,2022-09-22 12:45:00,Credit card,113.58,5.679,8.1,119.259
574-22-5561,C,Member,Female,Fashion accessories,82.63,10,41.315,2019-03-19,2022-09-22 17:08:00,Ewallet,826.3,41.315,7.9,867.615
326-78-5178,C,Member,Male,Food and beverages,91.4,7,31.99,2019-02-03,2022-09-22 10:19:00,Cash,639.8,31.99,9.5,671.79
162-48-8011,A,Member,Female,Food and beverages,44.59,5,11.1475,2019-02-10,2022-09-22 15:10:00,Cash,222.95,11.1475,8.5,234.0975
616-24-2851,B,Member,Female,Fashion accessories,17.87,4,3.574,2019-03-22,2022-09-22 14:42:00,Ewallet,71.48,3.574,6.5,75.054
778-71-5554,C,Member,Male,Fashion accessories,15.43,1,0.7715,2019-01-25,2022-09-22 15:46:00,Credit card,15.43,0.7715,6.1,16.2015
242-55-6721,B,Normal,Male,Home and lifestyle,16.16,2,1.616,2019-03-07,2022-09-22 11:49:00,Ewallet,32.32,1.616,6.5,33.936
399-46-5918,C,Normal,Female,Electronic accessories,85.98,8,34.392,2019-02-28,2022-09-22 19:01:00,Cash,687.84,34.392,8.2,722.232
106-35-6779,A,Member,Male,Home and lifestyle,44.34,2,4.434,2019-03-27,2022-09-22 11:26:00,Cash,88.68,4.434,5.8,93.114
635-40-6220,A,Normal,Male,Health and beauty,89.6,8,35.84,2019-02-07,2022-09-22 11:28:00,Ewallet,716.8,35.84,6.6,752.64
817-48-8732,A,Member,Female,Home and lifestyle,72.35,10,36.175,2019-01-20,2022-09-22 15:55:00,Cash,723.5,36.175,5.4,759.675
120-06-4233,C,Normal,Male,Electronic accessories,30.61,6,9.183,2019-03-12,2022-09-22 20:36:00,Cash,183.66,9.183,9.3,192.843
285-68-5083,C,Member,Female,Sports and travel,24.74,3,3.711,2019-02-15,2022-09-22 17:47:00,Credit card,74.22,3.711,10.0,77.931
803-83-5989,C,Normal,Male,Home and lifestyle,55.73,6,16.719,2019-02-24,2022-09-22 10:55:00,Ewallet,334.38,16.719,7.0,351.099
347-34-2234,B,Member,Female,Sports and travel,55.07,9,24.7815,2019-02-03,2022-09-22 13:40:00,Ewallet,495.63,24.7815,10.0,520.4115
199-75-8169,A,Member,Male,Sports and travel,15.81,10,7.905,2019-03-06,2022-09-22 12:27:00,Credit card,158.1,7.905,8.6,166.005
853-23-2453,B,Member,Male,Health and beauty,75.74,4,15.148,2019-02-14,2022-09-22 14:35:00,Cash,302.96,15.148,7.6,318.108
877-22-3308,A,Member,Male,Health and beauty,15.87,10,7.935,2019-03-13,2022-09-22 16:40:00,Cash,158.7,7.935,5.8,166.635
838-78-4295,C,Normal,Female,Health and beauty,33.47,2,3.347,2019-02-10,2022-09-22 15:43:00,Ewallet,66.94,3.347,6.7,70.287
109-28-2512,B,Member,Female,Fashion accessories,97.61,6,29.283,2019-01-07,2022-09-22 15:01:00,Ewallet,585.66,29.283,9.9,614.943
232-11-3025,A,Normal,Male,Sports and travel,78.77,10,39.385,2019-01-24,2022-09-22 10:04:00,Cash,787.7,39.385,6.4,827.085
382-03-4532,A,Member,Female,Health and beauty,18.33,1,0.9165,2019-02-02,2022-09-22 18:50:00,Cash,18.33,0.9165,4.3,19.2465
393-65-2792,C,Normal,Male,Food and beverages,89.48,10,44.74,2019-01-06,2022-09-22 12:46:00,Credit card,894.8,44.74,9.6,939.54
796-12-2025,C,Normal,Male,Fashion accessories,62.12,10,31.06,2019-02-11,2022-09-22 16:19:00,Cash,621.2,31.06,5.9,652.26
510-95-6347,B,Member,Female,Food and beverages,48.52,3,7.278,2019-03-05,2022-09-22 18:17:00,Ewallet,145.56,7.278,4.0,152.838
841-35-6630,C,Normal,Female,Electronic accessories,75.91,6,22.773,2019-03-09,2022-09-22 18:21:00,Cash,455.46,22.773,8.7,478.233
287-21-9091,A,Normal,Male,Home and lifestyle,74.67,9,33.6015,2019-01-22,2022-09-22 10:55:00,Ewallet,672.03,33.6015,9.4,705.6315
732-94-0499,C,Normal,Female,Electronic accessories,41.65,10,20.825,2019-01-13,2022-09-22 17:04:00,Credit card,416.5,20.825,5.4,437.325
263-10-3913,C,Member,Male,Fashion accessories,49.04,9,22.068,2019-01-09,2022-09-22 14:20:00,Credit card,441.36,22.068,8.6,463.428
381-20-0914,A,Member,Female,Fashion accessories,20.01,9,9.0045,2019-01-12,2022-09-22 15:48:00,Credit card,180.09,9.0045,5.7,189.0945
829-49-1914,C,Member,Female,Food and beverages,78.31,10,39.155,2019-03-05,2022-09-22 16:24:00,Ewallet,783.1,39.155,6.6,822.255
756-01-7507,C,Normal,Female,Health and beauty,20.38,5,5.095,2019-01-22,2022-09-22 18:56:00,Cash,101.9,5.095,6.0,106.995
870-72-4431,C,Normal,Female,Health and beauty,99.19,6,29.757,2019-01-21,2022-09-22 14:42:00,Credit card,595.14,29.757,5.5,624.897
847-38-7188,B,Normal,Female,Food and beverages,96.68,3,14.502,2019-01-26,2022-09-22 19:56:00,Ewallet,290.04,14.502,6.4,304.542
480-63-2856,C,Normal,Male,Food and beverages,19.25,8,7.7,2019-01-23,2022-09-22 18:37:00,Ewallet,154.0,7.7,6.6,161.7
787-56-0757,C,Member,Female,Food and beverages,80.36,4,16.072,2019-02-23,2022-09-22 18:45:00,Credit card,321.44,16.072,8.3,337.512
360-39-5055,C,Member,Male,Sports and travel,48.91,5,12.2275,2019-03-09,2022-09-22 10:17:00,Cash,244.55,12.2275,6.6,256.7775
730-50-9884,C,Normal,Female,Sports and travel,83.06,7,29.071,2019-03-05,2022-09-22 14:31:00,Ewallet,581.42,29.071,4.0,610.491
362-58-8315,C,Normal,Male,Fashion accessories,76.52,5,19.13,2019-03-25,2022-09-22 10:23:00,Cash,382.6,19.13,9.9,401.73
633-44-8566,A,Member,Male,Food and beverages,49.38,7,17.283,2019-03-27,2022-09-22 20:35:00,Credit card,345.66,17.283,7.3,362.943
504-35-8843,A,Normal,Male,Sports and travel,42.47,1,2.1235,2019-01-02,2022-09-22 16:57:00,Cash,42.47,2.1235,5.7,44.5935
318-68-5053,B,Normal,Female,Health and beauty,76.99,6,23.097,2019-02-27,2022-09-22 17:55:00,Cash,461.94,23.097,6.1,485.037
565-80-5980,C,Member,Female,Home and lifestyle,47.38,4,9.476,2019-01-23,2022-09-22 10:25:00,Cash,189.52,9.476,7.1,198.996
225-32-0908,C,Normal,Female,Sports and travel,44.86,10,22.43,2019-01-26,2022-09-22 19:54:00,Ewallet,448.6,22.43,8.2,471.03
873-51-0671,A,Member,Female,Sports and travel,21.98,7,7.693,2019-01-10,2022-09-22 16:42:00,Ewallet,153.86,7.693,5.1,161.553
152-08-9985,B,Member,Male,Health and beauty,64.36,9,28.962,2019-03-12,2022-09-22 12:09:00,Credit card,579.24,28.962,8.6,608.202
512-91-0811,C,Normal,Male,Health and beauty,89.75,1,4.4875,2019-02-06,2022-09-22 20:05:00,Credit card,89.75,4.4875,6.6,94.2375
594-34-4444,A,Normal,Male,Electronic accessories,97.16,1,4.858,2019-03-08,2022-09-22 20:38:00,Ewallet,97.16,4.858,7.2,102.018
766-85-7061,B,Normal,Male,Health and beauty,87.87,10,43.935,2019-03-29,2022-09-22 10:25:00,Ewallet,878.7,43.935,5.1,922.635
871-39-9221,C,Normal,Female,Electronic accessories,12.45,6,3.735,2019-02-09,2022-09-22 13:11:00,Cash,74.7,3.735,4.1,78.435
865-92-6136,A,Normal,Male,Food and beverages,52.75,3,7.9125,2019-03-23,2022-09-22 10:16:00,Ewallet,158.25,7.9125,9.3,166.1625
733-01-9107,B,Normal,Male,Home and lifestyle,82.7,6,24.81,2019-03-05,2022-09-22 18:14:00,Cash,496.2,24.81,7.4,521.01
163-56-7055,C,Member,Male,Fashion accessories,48.71,1,2.4355,2019-03-26,2022-09-22 19:20:00,Cash,48.71,2.4355,4.1,51.1455
189-98-2939,C,Normal,Male,Fashion accessories,78.55,9,35.3475,2019-03-01,2022-09-22 13:22:00,Cash,706.95,35.3475,7.2,742.2975
551-21-3069,C,Normal,Female,Electronic accessories,23.07,9,10.3815,2019-02-01,2022-09-22 11:27:00,Cash,207.63,10.3815,4.9,218.0115
212-62-1842,A,Normal,Male,Food and beverages,58.26,6,17.478,2019-03-28,2022-09-22 16:44:00,Cash,349.56,17.478,9.9,367.038
716-39-1409,B,Normal,Male,Health and beauty,30.35,7,10.6225,2019-03-19,2022-09-22 18:19:00,Cash,212.45,10.6225,8.0,223.0725
704-48-3927,A,Member,Male,Electronic accessories,88.67,10,44.335,2019-01-12,2022-09-22 14:50:00,Ewallet,886.7,44.335,7.3,931.035
628-34-3388,C,Normal,Male,Fashion accessories,27.38,6,8.214,2019-01-05,2022-09-22 20:54:00,Credit card,164.28,8.214,7.9,172.494
630-74-5166,A,Normal,Male,Sports and travel,62.13,6,18.639,2019-03-22,2022-09-22 20:19:00,Cash,372.78,18.639,7.4,391.419
588-01-7461,C,Normal,Female,Food and beverages,33.98,9,15.291,2019-03-24,2022-09-22 10:43:00,Cash,305.82,15.291,4.2,321.111
861-77-0145,C,Member,Male,Electronic accessories,81.97,10,40.985,2019-03-03,2022-09-22 14:30:00,Cash,819.7,40.985,9.2,860.685
479-26-8945,B,Member,Female,Sports and travel,16.49,2,1.649,2019-02-05,2022-09-22 11:32:00,Ewallet,32.98,1.649,4.6,34.629
210-67-5886,C,Member,Female,Health and beauty,98.21,3,14.7315,2019-02-05,2022-09-22 10:41:00,Credit card,294.63,14.7315,7.8,309.3615
227-78-1148,B,Normal,Female,Fashion accessories,72.84,7,25.494,2019-02-15,2022-09-22 12:44:00,Cash,509.88,25.494,8.4,535.374
645-44-1170,A,Member,Male,Home and lifestyle,58.07,9,26.1315,2019-01-19,2022-09-22 20:07:00,Ewallet,522.63,26.1315,4.3,548.7615
237-01-6122,C,Member,Female,Home and lifestyle,80.79,9,36.3555,2019-02-01,2022-09-22 20:31:00,Credit card,727.11,36.3555,9.5,763.4655
225-98-1496,C,Normal,Female,Fashion accessories,27.02,3,4.053,2019-03-02,2022-09-22 13:01:00,Credit card,81.06,4.053,7.1,85.113
291-32-1427,B,Member,Male,Fashion accessories,21.94,5,5.485,2019-03-05,2022-09-22 12:29:00,Ewallet,109.7,5.485,5.3,115.185
659-65-8956,B,Member,Male,Fashion accessories,51.36,1,2.568,2019-01-16,2022-09-22 15:26:00,Ewallet,51.36,2.568,5.2,53.928
642-32-2990,A,Normal,Female,Food and beverages,10.96,10,5.48,2019-02-02,2022-09-22 20:48:00,Ewallet,109.6,5.48,6.0,115.08
378-24-2715,B,Normal,Male,Home and lifestyle,53.44,2,5.344,2019-01-20,2022-09-22 20:38:00,Ewallet,106.88,5.344,4.1,112.224
638-60-7125,A,Normal,Female,Electronic accessories,99.56,8,39.824,2019-02-14,2022-09-22 17:03:00,Credit card,796.48,39.824,5.2,836.304
659-36-1684,C,Member,Male,Sports and travel,57.12,7,19.992,2019-01-12,2022-09-22 12:02:00,Credit card,399.84,19.992,6.5,419.832
219-22-9386,B,Member,Male,Sports and travel,99.96,9,44.982,2019-03-09,2022-09-22 17:26:00,Credit card,899.64,44.982,4.2,944.622
336-78-2147,C,Member,Male,Home and lifestyle,63.91,8,25.564,2019-03-13,2022-09-22 19:52:00,Credit card,511.28,25.564,4.6,536.844
268-27-6179,B,Member,Female,Fashion accessories,56.47,8,22.588,2019-03-09,2022-09-22 14:57:00,Ewallet,451.76,22.588,7.3,474.348
668-90-8900,A,Normal,Female,Home and lifestyle,93.69,7,32.7915,2019-03-10,2022-09-22 18:44:00,Credit card,655.83,32.7915,4.5,688.6215
870-54-3162,A,Normal,Female,Sports and travel,32.25,5,8.0625,2019-01-27,2022-09-22 13:26:00,Cash,161.25,8.0625,9.0,169.3125
189-08-9157,C,Normal,Female,Fashion accessories,31.73,9,14.2785,2019-01-08,2022-09-22 16:17:00,Credit card,285.57,14.2785,5.9,299.8485
663-86-9076,C,Member,Female,Food and beverages,68.54,8,27.416,2019-01-08,2022-09-22 15:57:00,Ewallet,548.32,27.416,8.5,575.736
549-84-7482,B,Normal,Female,Sports and travel,90.28,9,40.626,2019-02-08,2022-09-22 11:15:00,Ewallet,812.52,40.626,7.2,853.146
191-10-6171,B,Normal,Female,Fashion accessories,39.62,7,13.867,2019-01-25,2022-09-22 13:18:00,Cash,277.34,13.867,7.5,291.207
802-70-5316,A,Member,Female,Sports and travel,92.13,6,27.639,2019-03-06,2022-09-22 20:34:00,Cash,552.78,27.639,8.3,580.419
695-51-0018,B,Normal,Female,Sports and travel,34.84,4,6.968,2019-02-10,2022-09-22 18:36:00,Cash,139.36,6.968,7.4,146.328
590-83-4591,B,Member,Male,Electronic accessories,87.45,6,26.235,2019-02-17,2022-09-22 14:40:00,Credit card,524.7,26.235,8.8,550.935
483-71-1164,C,Normal,Female,Health and beauty,81.3,6,24.39,2019-03-08,2022-09-22 16:43:00,Ewallet,487.8,24.39,5.3,512.19
597-78-7908,C,Normal,Male,Fashion accessories,90.22,3,13.533,2019-02-18,2022-09-22 19:39:00,Cash,270.66,13.533,6.2,284.193
700-81-1757,A,Normal,Female,Electronic accessories,26.31,5,6.5775,2019-01-18,2022-09-22 20:59:00,Credit card,131.55,6.5775,8.8,138.1275
354-39-5160,A,Member,Female,Home and lifestyle,34.42,6,10.326,2019-02-18,2022-09-22 15:39:00,Cash,206.52,10.326,9.8,216.846
241-72-9525,B,Normal,Male,Sports and travel,51.91,10,25.955,2019-02-16,2022-09-22 12:21:00,Cash,519.1,25.955,8.2,545.055
575-30-8091,A,Normal,Male,Sports and travel,72.5,8,29.0,2019-03-16,2022-09-22 19:25:00,Ewallet,580.0,29.0,9.2,609.0
731-81-9469,C,Member,Female,Sports and travel,89.8,10,44.9,2019-01-23,2022-09-22 13:00:00,Credit card,898.0,44.9,5.4,942.9
280-17-4359,C,Member,Male,Health and beauty,90.5,10,45.25,2019-01-25,2022-09-22 13:48:00,Cash,905.0,45.25,8.1,950.25
338-65-2210,C,Member,Female,Health and beauty,68.6,10,34.3,2019-02-05,2022-09-22 19:57:00,Cash,686.0,34.3,9.1,720.3
488-25-4221,C,Member,Female,Food and beverages,30.41,1,1.5205,2019-02-22,2022-09-22 10:36:00,Credit card,30.41,1.5205,8.4,31.9305
239-10-7476,A,Normal,Female,Home and lifestyle,77.95,6,23.385,2019-01-21,2022-09-22 16:37:00,Ewallet,467.7,23.385,8.0,491.085
458-41-1477,C,Normal,Female,Health and beauty,46.26,6,13.878,2019-03-08,2022-09-22 17:11:00,Credit card,277.56,13.878,9.5,291.438
685-64-1609,A,Member,Female,Fashion accessories,30.14,10,15.07,2019-02-10,2022-09-22 12:28:00,Ewallet,301.4,15.07,9.2,316.47
568-90-5112,C,Normal,Male,Health and beauty,66.14,4,13.228,2019-03-19,2022-09-22 12:46:00,Credit card,264.56,13.228,5.6,277.788
262-47-2794,B,Member,Male,Home and lifestyle,71.86,8,28.744,2019-03-06,2022-09-22 15:07:00,Credit card,574.88,28.744,6.2,603.624
238-49-0436,A,Normal,Male,Health and beauty,32.46,8,12.984,2019-03-27,2022-09-22 13:48:00,Credit card,259.68,12.984,4.9,272.664
608-96-3517,B,Member,Female,Fashion accessories,91.54,4,18.308,2019-03-23,2022-09-22 19:20:00,Credit card,366.16,18.308,4.8,384.468
584-86-7256,C,Member,Male,Sports and travel,34.56,7,12.096,2019-03-11,2022-09-22 16:07:00,Credit card,241.92,12.096,7.3,254.016
746-94-0204,A,Normal,Male,Fashion accessories,83.24,9,37.458,2019-01-29,2022-09-22 11:56:00,Credit card,749.16,37.458,7.4,786.618
214-17-6927,C,Normal,Female,Food and beverages,16.48,6,4.944,2019-02-07,2022-09-22 18:23:00,Ewallet,98.88,4.944,9.9,103.824
400-89-4171,C,Normal,Female,Sports and travel,80.97,8,32.388,2019-01-28,2022-09-22 13:05:00,Cash,647.76,32.388,9.3,680.148
782-95-9291,A,Member,Male,Food and beverages,92.29,5,23.0725,2019-02-20,2022-09-22 15:55:00,Credit card,461.45,23.0725,9.0,484.5225
279-74-2924,B,Member,Male,Electronic accessories,72.17,1,3.6085,2019-01-04,2022-09-22 19:40:00,Cash,72.17,3.6085,6.1,75.7785
307-85-2293,B,Normal,Male,Home and lifestyle,50.28,5,12.57,2019-03-07,2022-09-22 13:58:00,Ewallet,251.4,12.57,9.7,263.97
743-04-1105,B,Member,Male,Health and beauty,97.22,9,43.749,2019-03-30,2022-09-22 14:43:00,Ewallet,874.98,43.749,6.0,918.729
423-57-2993,B,Normal,Male,Sports and travel,93.39,6,28.017,2019-03-27,2022-09-22 19:18:00,Ewallet,560.34,28.017,10.0,588.357
894-41-5205,C,Normal,Female,Food and beverages,43.18,8,17.272,2019-01-19,2022-09-22 19:39:00,Credit card,345.44,17.272,8.3,362.712
275-28-0149,A,Normal,Male,Sports and travel,63.69,1,3.1845,2019-02-25,2022-09-22 16:21:00,Cash,63.69,3.1845,6.0,66.8745
101-17-6199,A,Normal,Male,Food and beverages,45.79,7,16.0265,2019-03-13,2022-09-22 19:44:00,Credit card,320.53,16.0265,7.0,336.5565
423-80-0988,C,Normal,Male,Sports and travel,76.4,2,7.64,2019-01-30,2022-09-22 19:42:00,Ewallet,152.8,7.64,6.5,160.44
548-46-9322,B,Normal,Male,Food and beverages,39.9,10,19.95,2019-02-20,2022-09-22 15:24:00,Credit card,399.0,19.95,5.9,418.95
505-02-0892,B,Member,Male,Health and beauty,42.57,8,17.028,2019-02-25,2022-09-22 14:12:00,Ewallet,340.56,17.028,5.6,357.588
234-65-2137,C,Normal,Male,Home and lifestyle,95.58,10,47.79,2019-01-16,2022-09-22 13:32:00,Cash,955.8,47.79,4.8,1003.59
687-47-8271,A,Normal,Male,Fashion accessories,98.98,10,49.49,2019-02-08,2022-09-22 16:20:00,Credit card,989.8,49.49,8.7,1039.29
796-32-9050,A,Normal,Male,Food and beverages,51.28,6,15.384,2019-01-19,2022-09-22 16:31:00,Cash,307.68,15.384,6.5,323.064
105-31-1824,A,Member,Male,Sports and travel,69.52,7,24.332,2019-02-01,2022-09-22 15:10:00,Credit card,486.64,24.332,8.5,510.972
249-42-3782,A,Normal,Male,Health and beauty,70.01,5,17.5025,2019-01-03,2022-09-22 11:36:00,Ewallet,350.05,17.5025,5.5,367.5525
316-55-4634,B,Member,Male,Food and beverages,80.05,5,20.0125,2019-01-26,2022-09-22 12:45:00,Credit card,400.25,20.0125,9.4,420.2625
733-33-4967,C,Normal,Male,Electronic accessories,20.85,8,8.34,2019-03-03,2022-09-22 19:17:00,Cash,166.8,8.34,6.3,175.14
608-27-6295,B,Member,Male,Electronic accessories,52.89,6,15.867,2019-01-19,2022-09-22 17:34:00,Credit card,317.34,15.867,9.8,333.207
414-12-7047,B,Normal,Male,Food and beverages,19.79,8,7.916,2019-01-18,2022-09-22 12:04:00,Ewallet,158.32,7.916,8.7,166.236
827-26-2100,A,Member,Male,Home and lifestyle,33.84,9,15.228,2019-03-21,2022-09-22 16:21:00,Ewallet,304.56,15.228,8.8,319.788
175-54-2529,A,Member,Male,Food and beverages,22.17,8,8.868,2019-03-03,2022-09-22 17:01:00,Credit card,177.36,8.868,9.6,186.228
139-52-2867,C,Normal,Female,Fashion accessories,22.51,7,7.8785,2019-02-13,2022-09-22 10:50:00,Credit card,157.57,7.8785,4.8,165.4485
407-63-8975,A,Normal,Male,Food and beverages,73.88,6,22.164,2019-03-23,2022-09-22 19:16:00,Ewallet,443.28,22.164,4.4,465.444
342-65-4817,C,Member,Male,Health and beauty,86.8,3,13.02,2019-01-28,2022-09-22 16:47:00,Ewallet,260.4,13.02,9.9,273.42
130-98-8941,C,Normal,Male,Fashion accessories,64.26,7,22.491,2019-02-09,2022-09-22 10:00:00,Cash,449.82,22.491,5.7,472.311
434-83-9547,C,Member,Male,Food and beverages,38.47,8,15.388,2019-01-23,2022-09-22 11:51:00,Cash,307.76,15.388,7.7,323.148
851-28-6367,A,Member,Male,Sports and travel,15.5,10,7.75,2019-03-23,2022-09-22 10:55:00,Ewallet,155.0,7.75,8.0,162.75
824-88-3614,C,Normal,Male,Health and beauty,34.31,8,13.724,2019-01-25,2022-09-22 15:00:00,Ewallet,274.48,13.724,5.7,288.204
586-25-0848,A,Normal,Female,Sports and travel,12.34,7,4.319,2019-03-04,2022-09-22 11:19:00,Credit card,86.38,4.319,6.7,90.699
